YYYYMMDD,VWID,VWI,EWID,EWI,SP500,YYYY,day
19260501,-0.00197,-0.00197,-0.002945,-0.002945,,1926,6
19260503,-0.016797,-0.016797,-0.016987,-0.016987,,1926,1
19260504,0.004495,0.004474,0.003065,0.00305,,1926,2
19260505,0.002307,0.002273,0.004807,0.004743,,1926,3
19260506,0.001304,0.001304,0.001041,0.001041,,1926,4
19260507,-0.008851,-0.008937,-0.007918,-0.007946,,1926,5
19260508,-0.000467,-0.000467,0.000138,0.000138,,1926,6
19260510,-0.004865,-0.005212,-0.007767,-0.007959,,1926,1
19260511,0.000837,0.000647,0.002477,0.00244,,1926,2
19260512,0.002661,0.002661,0.002486,0.002486,,1926,3
19260513,-0.001592,-0.001592,-0.00216,-0.00216,,1926,4
19260514,-0.001283,-0.001574,-0.001121,-0.001571,,1926,5
19260515,-0.003729,-0.003729,-0.003649,-0.003649,,1926,6
19260517,-0.000168,-0.000277,-0.00315,-0.003309,,1926,1
19260518,-0.00178,-0.001796,-0.004233,-0.004318,,1926,2
19260519,-0.001684,-0.001732,-0.004273,-0.004312,,1926,3
19260520,0.009063,0.008687,0.005745,0.005465,,1926,4
19260521,0.007683,0.007666,0.010292,0.010196,,1926,5
19260522,0.002828,0.002828,0.003251,0.003251,,1926,6
19260524,0.004909,0.003738,0.006073,0.005973,,1926,1
19260525,0.003343,0.003308,0.008203,0.007279,,1926,2
19260526,0.00579,0.00579,0.003956,0.003956,,1926,3
19260527,0.003407,0.003181,0.004422,0.004373,,1926,4
19260528,0.00671,0.006117,0.008897,0.008624,,1926,5
19260601,-0.004687,-0.005869,-0.003731,-0.004171,,1926,2
19260602,0.005296,0.005055,0.004028,0.003965,,1926,3
19260603,0.005005,0.005005,0.008005,0.008005,,1926,4
19260604,0.001839,0.001064,0.003871,0.00347,,1926,5
19260605,-0.000172,-0.000172,-0.001399,-0.001399,,1926,6
19260607,0.002893,0.002594,0.006471,0.006412,,1926,1
19260608,0.001063,0.000987,0.001436,0.001355,,1926,2
19260609,0.000047,-0.000069,-0.001319,-0.001418,,1926,3
19260610,0.001281,0.001161,0.000004,-0.000224,,1926,4
19260611,0.00709,0.006906,0.005411,0.005121,,1926,5
19260612,0.006195,0.006195,0.005779,0.005779,,1926,6
19260614,0.004375,0.004333,0.004618,0.004475,,1926,1
19260615,0.000866,-0.000381,0.002349,0.000734,,1926,2
19260616,0.007197,0.007186,0.007679,0.007592,,1926,3
19260617,0.006266,0.006052,0.006276,0.006143,,1926,4
19260618,-0.007653,-0.008894,-0.003548,-0.004325,,1926,5
